Battery,Car_name,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.,Range_per_kWh
108.4,154,221,730.0,124545.0,490,210,5.2,4.520295202952029
45.0,156,200,230.0,49445.0,225,132,12.6,5.0
108.4,149,184,880.0,125378.0,590,210,4.8,5.44280442804428
83.7,226,174,1180.0,120081.0,480,250,4.0,5.734767025089606
90.6,138,179,750.0,88215.0,505,210,4.7,5.5739514348785875
83.7,223,190,1080.0,103254.0,440,220,5.1,5.256869772998805
81.0,62,208,290.0,53090.0,390,150,8.0,4.814814814814815
108.4,152,221,730.0,114609.0,490,210,6.0,4.520295202952029
87.0,179,215,480.0,71490.0,405,200,5.1,4.655172413793103
68.0,196,257,290.0,56942.0,265,130,13.3,3.8970588235294117
59.3,185,180,230.0,49490.0,330,160,8.2,5.564924114671164
90.6,141,201,570.0,83479.0,450,210,7.6,4.966887417218543
106.0,15,221,610.0,98050.0,480,210,4.5,4.528301886792453
77.0,5,186,620.0,56950.0,415,180,6.6,5.3896103896103895
62.0,256,194,490.0,46490.0,320,180,3.9,5.161290322580645
46.3,272,220,330.0,37800.0,210,135,11.2,4.535637149028078
37.3,65,162,380.0,37990.0,230,150,9.0,6.166219839142092
90.6,145,218,620.0,124920.0,415,210,4.3,4.580573951434879
68.0,271,257,290.0,64530.0,265,130,13.1,3.8970588235294117
46.3,273,226,330.0,40150.0,205,135,11.2,4.427645788336934
71.0,224,171,1020.0,114559.0,415,250,4.0,5.845070422535211
87.7,276,206,550.0,52990.0,425,200,5.9,4.8460661345496
90.6,139,195,690.0,104756.0,465,210,4.2,5.1324503311258285
66.5,130,187,510.0,53520.0,355,160,7.7,5.338345864661654
46.3,55,250,290.0,53640.0,185,130,12.1,3.9956803455723544
37.8,1,168,370.0,37990.0,225,155,7.0,5.9523809523809526
90.6,146,221,610.0,139438.0,410,240,3.5,4.525386313465784
68.0,198,262,280.0,70075.0,260,130,13.3,3.823529411764706
60.0,3,171,430.0,47588.0,350,160,7.0,5.833333333333333
68.0,270,262,280.0,65385.0,260,130,13.1,3.823529411764706
70.5,167,201,470.0,65500.0,350,200,4.5,4.964539007092198
46.3,188,226,330.0,43050.0,205,135,11.7,4.427645788336934
68.0,52,257,290.0,57940.0,265,130,13.3,3.8970588235294117
90.6,140,195,690.0,110706.0,465,220,3.5,5.1324503311258285
90.0,162,295,310.0,65140.0,305,160,12.0,3.388888888888889
83.7,234,188,1090.0,164420.0,445,260,3.2,5.316606929510155
68.0,209,257,290.0,57940.0,265,130,14.3,3.8970588235294117
46.3,211,226,330.0,41240.0,205,135,11.7,4.427645788336934
68.0,213,262,280.0,60430.0,260,130,14.3,3.823529411764706
74.0,82,195,990.0,63200.0,380,200,5.5,5.135135135135135
83.7,225,190,1080.0,119914.0,440,240,4.1,5.256869772998805
87.7,277,206,550.0,58890.0,425,200,5.5,4.8460661345496
71.0,233,187,930.0,94091.0,380,230,5.4,5.352112676056338
60.0,158,286,200.0,68056.0,210,160,12.0,3.5
90.0,159,290,310.0,72519.0,310,160,12.1,3.4444444444444446
60.0,163,286,310.0,60678.0,210,160,12.0,3.5
37.8,0,168,370.0,40990.0,225,155,7.0,5.9523809523809526
74.0,83,203,950.0,73100.0,365,235,4.0,4.9324324324324325
68.0,56,257,290.0,59640.0,265,130,13.3,3.8970588235294117
70.5,169,207,460.0,85900.0,340,200,3.9,4.822695035460993
68.0,215,257,290.0,59640.0,265,130,14.3,3.8970588235294117
46.3,214,250,290.0,53640.0,185,130,13.1,3.9956803455723544
83.7,230,197,1050.0,140858.0,425,250,3.7,5.077658303464755
83.7,235,197,1050.0,165848.0,425,250,3.3,5.077658303464755
68.0,207,262,280.0,58730.0,260,130,14.3,3.823529411764706
68.0,72,262,280.0,62990.0,260,130,13.3,3.823529411764706
46.3,57,257,290.0,54430.0,180,130,12.1,3.8876889848812097
83.7,237,204,1010.0,199168.0,410,250,2.9,4.898446833930705
46.3,45,226,330.0,43640.0,205,135,11.7,4.427645788336934
21.3,64,158,230.0,35490.0,135,135,9.0,6.338028169014084
83.7,232,188,1090.0,99815.0,445,230,5.4,5.316606929510155
83.7,238,212,970.0,198692.0,395,260,2.8,4.7192353643966545
68.0,58,262,280.0,60430.0,260,130,13.3,3.823529411764706
46.3,51,250,290.0,51940.0,185,130,12.1,3.9956803455723544
46.3,199,250,290.0,63250.0,185,130,12.1,3.9956803455723544
68.0,54,262,280.0,58730.0,260,130,13.3,3.823529411764706
83.7,227,195,1060.0,120081.0,430,250,4.0,5.137395459976105
46.3,189,232,320.0,44750.0,200,135,11.7,4.319654427645789
71.0,228,192,910.0,114559.0,370,250,4.0,5.211267605633803
46.3,208,250,290.0,51940.0,185,130,13.1,3.9956803455723544
60.0,161,293,300.0,61571.0,205,160,12.0,3.4166666666666665
46.3,212,250,290.0,54430.0,185,130,13.1,3.9956803455723544
68.0,70,257,290.0,61990.0,265,130,13.3,3.8970588235294117
83.7,239,207,1000.0,165372.0,405,260,3.2,4.838709677419355
60.0,157,286,200.0,68949.0,210,160,12.0,3.5
68.0,194,262,280.0,57775.0,260,130,13.3,3.823529411764706
46.3,195,250,290.0,50992.0,185,130,12.1,3.9956803455723544
46.3,197,257,290.0,64075.0,180,130,12.1,3.8876889848812097
46.3,206,250,290.0,52730.0,185,130,13.1,3.9956803455723544
46.3,53,257,290.0,52730.0,180,130,12.1,3.8876889848812097
46.3,69,250,290.0,55990.0,185,130,12.1,3.9956803455723544
46.3,193,257,290.0,51825.0,180,130,12.1,3.8876889848812097
68.0,200,257,290.0,69250.0,265,130,13.3,3.8970588235294117
46.3,71,257,290.0,56990.0,180,130,12.1,3.8876889848812097
